# Version 1.00
#
freq[Hz]	re:Trc1_S11	im:Trc1_S11	re:Trc2_S11	im:Trc2_S11	
1.135000000000000E+008	3.451300859451294E-001	-6.396284699440002E-001	3.451300859451294E-001	-6.396284699440002E-001	
1.140000000000000E+008	1.934487521648407E-001	-6.988121867179871E-001	1.934487521648407E-001	-6.988121867179871E-001	
1.145000000000000E+008	3.164475038647652E-002	-7.207608819007874E-001	3.164475038647652E-002	-7.207608819007874E-001	
1.150000000000000E+008	-1.306586414575577E-001	-7.064533829689026E-001	-1.306586414575577E-001	-7.064533829689026E-001	
1.155000000000000E+008	-2.831811010837555E-001	-6.533617973327637E-001	-2.831811010837555E-001	-6.533617973327637E-001	
1.160000000000000E+008	-4.202521145343781E-001	-5.700555443763733E-001	-4.202521145343781E-001	-5.700555443763733E-001	
1.165000000000000E+008	-5.318834781646729E-001	-4.557308256626129E-001	-5.318834781646729E-001	-4.557308256626129E-001	
1.170000000000000E+008	-6.121765375137329E-001	-3.233691453933716E-001	-6.121765375137329E-001	-3.233691453933716E-001	
1.175000000000000E+008	-6.596168279647827E-001	-1.756553947925568E-001	-6.596168279647827E-001	-1.756553947925568E-001	
1.180000000000000E+008	-6.754109263420105E-001	-2.312081120908260E-002	-6.754109263420105E-001	-2.312081120908260E-002	
1.185000000000000E+008	-6.599224209785461E-001	1.315319091081619E-001	-6.599224209785461E-001	1.315319091081619E-001	
1.190000000000000E+008	-6.088073253631592E-001	2.731163799762726E-001	-6.088073253631592E-001	2.731163799762726E-001	
1.195000000000000E+008	-5.242962837219238E-001	3.975132107734680E-001	-5.242962837219238E-001	3.975132107734680E-001	
1.200000000000000E+008	-4.194309413433075E-001	5.014136433601379E-001	-4.194309413433075E-001	5.014136433601379E-001	
1.205000000000000E+008	-2.955377101898193E-001	5.818318724632263E-001	-2.955377101898193E-001	5.818318724632263E-001	
1.210000000000000E+008	-1.593510508537293E-001	6.299827098846436E-001	-1.593510508537293E-001	6.299827098846436E-001	
1.215000000000000E+008	-1.296121906489134E-002	6.479868888854981E-001	-1.296121906489134E-002	6.479868888854981E-001	
1.220000000000000E+008	1.294961571693420E-001	6.367485523223877E-001	1.294961571693420E-001	6.367485523223877E-001	
1.225000000000000E+008	2.664537429809570E-001	5.933721661567688E-001	2.664537429809570E-001	5.933721661567688E-001	
1.230000000000000E+008	3.935414254665375E-001	5.203067660331726E-001	3.935414254665375E-001	5.203067660331726E-001	
1.235000000000000E+008	5.014581084251404E-001	4.232093989849091E-001	5.014581084251404E-001	4.232093989849091E-001	
1.240000000000000E+008	5.858595371246338E-001	3.032462596893311E-001	5.858595371246338E-001	3.032462596893311E-001	
1.245000000000000E+008	6.424394249916077E-001	1.674859523773193E-001	6.424394249916077E-001	1.674859523773193E-001	
1.250000000000000E+008	6.672062277793884E-001	1.893091946840286E-002	6.672062277793884E-001	1.893091946840286E-002	
1.255000000000000E+008	6.580975055694580E-001	-1.313187181949616E-001	6.580975055694580E-001	-1.313187181949616E-001	
1.260000000000000E+008	6.125603914260864E-001	-2.761842310428619E-001	6.125603914260864E-001	-2.761842310428619E-001	
1.265000000000000E+008	5.356004238128662E-001	-4.090921878814697E-001	5.356004238128662E-001	-4.090921878814697E-001	
1.270000000000000E+008	4.300114512443543E-001	-5.174974203109741E-001	4.300114512443543E-001	-5.174974203109741E-001	
1.275000000000000E+008	2.979786098003388E-001	-6.028600335121155E-001	2.979786098003388E-001	-6.028600335121155E-001	
1.280000000000000E+008	1.533485203981400E-001	-6.549842357635498E-001	1.533485203981400E-001	-6.549842357635498E-001	
1.285000000000000E+008	-3.377035958692431E-003	-6.683621406555176E-001	-3.377035958692431E-003	-6.683621406555176E-001	
1.290000000000000E+008	-1.613636016845703E-001	-6.458662152290344E-001	-1.613636016845703E-001	-6.458662152290344E-001	
1.295000000000000E+008	-3.082349598407745E-001	-5.837036371231079E-001	-3.082349598407745E-001	-5.837036371231079E-001	
1.300000000000000E+008	-4.365894198417664E-001	-4.850654304027557E-001	-4.365894198417664E-001	-4.850654304027557E-001	
1.305000000000000E+008	-5.370813608169556E-001	-3.544965386390686E-001	-5.370813608169556E-001	-3.544965386390686E-001	
1.310000000000000E+008	-6.010049581527710E-001	-2.035993039608002E-001	-6.010049581527710E-001	-2.035993039608002E-001	
1.315000000000000E+008	-6.213469505310059E-001	-4.085931926965714E-002	-6.213469505310059E-001	-4.085931926965714E-002	
1.320000000000000E+008	-5.965365767478943E-001	1.220199763774872E-001	-5.965365767478943E-001	1.220199763774872E-001	
1.325000000000000E+008	-5.274234414100647E-001	2.701456844806671E-001	-5.274234414100647E-001	2.701456844806671E-001	
1.330000000000000E+008	-4.215206503868103E-001	3.926857411861420E-001	-4.215206503868103E-001	3.926857411861420E-001	
1.335000000000000E+008	-2.879725992679596E-001	4.814277589321137E-001	-2.879725992679596E-001	4.814277589321137E-001	
1.340000000000000E+008	-1.352449953556061E-001	5.286822319030762E-001	-1.352449953556061E-001	5.286822319030762E-001	
1.345000000000000E+008	2.371940016746521E-002	5.279359221458435E-001	2.371940016746521E-002	5.279359221458435E-001	
1.350000000000000E+008	1.735206544399262E-001	4.796425700187683E-001	1.735206544399262E-001	4.796425700187683E-001	
1.355000000000000E+008	2.992636561393738E-001	3.848028779029846E-001	2.992636561393738E-001	3.848028779029846E-001	
1.360000000000000E+008	3.824452757835388E-001	2.540864348411560E-001	3.824452757835388E-001	2.540864348411560E-001	
1.365000000000000E+008	4.099095165729523E-001	1.090670153498650E-001	4.099095165729523E-001	1.090670153498650E-001	
1.370000000000000E+008	3.797191977500916E-001	-2.264076657593250E-002	3.797191977500916E-001	-2.264076657593250E-002	
1.375000000000000E+008	3.061345517635346E-001	-1.219079867005348E-001	3.061345517635346E-001	-1.219079867005348E-001	
1.380000000000000E+008	2.117238640785217E-001	-1.679670065641403E-001	2.117238640785217E-001	-1.679670065641403E-001	
1.385000000000000E+008	1.317227184772492E-001	-1.639245301485062E-001	1.317227184772492E-001	-1.639245301485062E-001	
1.390000000000000E+008	8.759183436632156E-002	-1.345245093107224E-001	8.759183436632156E-002	-1.345245093107224E-001	
1.395000000000000E+008	7.882042974233627E-002	-1.117554306983948E-001	7.882042974233627E-002	-1.117554306983948E-001	
1.400000000000000E+008	8.361715078353882E-002	-1.086304411292076E-001	8.361715078353882E-002	-1.086304411292076E-001	
1.405000000000000E+008	8.475551754236221E-002	-1.288948208093643E-001	8.475551754236221E-002	-1.288948208093643E-001	
1.410000000000000E+008	6.374672800302506E-002	-1.605393886566162E-001	6.374672800302506E-002	-1.605393886566162E-001	
1.415000000000000E+008	1.623539626598358E-002	-1.803941726684570E-001	1.623539626598358E-002	-1.803941726684570E-001	
1.420000000000000E+008	-4.521329328417778E-002	-1.694239079952240E-001	-4.521329328417778E-002	-1.694239079952240E-001	
1.425000000000000E+008	-9.175749123096466E-002	-1.212382465600967E-001	-9.175749123096466E-002	-1.212382465600967E-001	
