# Version 1.00
#
freq[Hz]	Trc1_S11[U]	Trc2_S11[U]	
1.175000000000000E+008	5.397973778742549E+000	5.397973778742549E+000	
1.180000000000000E+008	5.338957271506793E+000	5.338957271506793E+000	
1.185000000000000E+008	5.319172814841815E+000	5.319172814841815E+000	
1.190000000000000E+008	5.281959557710617E+000	5.281959557710617E+000	
1.195000000000000E+008	5.305239723834961E+000	5.305239723834961E+000	
1.200000000000000E+008	5.229887948679687E+000	5.229887948679687E+000	
1.205000000000000E+008	5.251106615707756E+000	5.251106615707756E+000	
1.210000000000000E+008	5.207740142289436E+000	5.207740142289436E+000	
1.215000000000000E+008	5.214575649555574E+000	5.214575649555574E+000	
1.220000000000000E+008	5.267423157415553E+000	5.267423157415553E+000	
1.225000000000000E+008	5.247225196576186E+000	5.247225196576186E+000	
1.230000000000000E+008	5.292832820170929E+000	5.292832820170929E+000	
1.235000000000000E+008	5.311051580858696E+000	5.311051580858696E+000	
1.240000000000000E+008	5.348869462363635E+000	5.348869462363635E+000	
1.245000000000000E+008	5.371745345414401E+000	5.371745345414401E+000	
1.250000000000000E+008	5.386135230662553E+000	5.386135230662553E+000	
1.255000000000000E+008	5.390382113567977E+000	5.390382113567977E+000	
1.260000000000000E+008	5.447641837529476E+000	5.447641837529476E+000	
1.265000000000000E+008	5.420524497780549E+000	5.420524497780549E+000	
1.270000000000000E+008	5.421036932649375E+000	5.421036932649375E+000	
1.275000000000000E+008	5.385697521138019E+000	5.385697521138019E+000	
1.280000000000000E+008	5.311862183075435E+000	5.311862183075435E+000	
1.285000000000000E+008	5.278802490013677E+000	5.278802490013677E+000	
1.290000000000000E+008	5.255466188531299E+000	5.255466188531299E+000	
1.295000000000000E+008	5.197355958778381E+000	5.197355958778381E+000	
1.300000000000000E+008	5.155352943003988E+000	5.155352943003988E+000	
1.305000000000000E+008	5.112144942562627E+000	5.112144942562627E+000	
1.310000000000000E+008	5.078328048588719E+000	5.078328048588719E+000	
1.315000000000000E+008	5.014553700807098E+000	5.014553700807098E+000	
1.320000000000000E+008	4.995034422511631E+000	4.995034422511631E+000	
1.325000000000000E+008	4.898982395800728E+000	4.898982395800728E+000	
1.330000000000000E+008	4.803568483405998E+000	4.803568483405998E+000	
1.335000000000000E+008	4.632710000956474E+000	4.632710000956474E+000	
1.340000000000000E+008	4.480315730916681E+000	4.480315730916681E+000	
1.345000000000000E+008	4.311154727717893E+000	4.311154727717893E+000	
1.350000000000000E+008	4.044881443130033E+000	4.044881443130033E+000	
1.355000000000000E+008	3.795177340024851E+000	3.795177340024851E+000	
