# Version 1.00
#
freq[Hz]	Trc1_S11[dB]	Trc2_S11[U]	
1.370000000000000E+008	-6.622115702117191E+000	2.749149826157708E+000	
1.375000000000000E+008	-7.590325701281897E+000	2.432497906605219E+000	
1.380000000000000E+008	-8.743082488779459E+000	2.151914744983610E+000	
1.385000000000000E+008	-1.000848260891318E+001	1.923630772827744E+000	
1.390000000000000E+008	-1.151221042361146E+001	1.723677708529843E+000	
1.395000000000000E+008	-1.330467415902274E+001	1.551526485155288E+000	
1.400000000000000E+008	-1.546538966429216E+001	1.405438262058527E+000	
1.405000000000000E+008	-1.803937092676701E+001	1.286558858669745E+000	
1.410000000000000E+008	-2.136110911173931E+001	1.186977269631968E+000	
1.415000000000000E+008	-2.487085404982699E+001	1.121062832652430E+000	
1.420000000000000E+008	-2.712258422102116E+001	1.092142957090159E+000	
1.425000000000000E+008	-2.889823703907693E+001	1.074472481673875E+000	
1.430000000000000E+008	-3.335163846707987E+001	1.043942705708025E+000	
1.435000000000000E+008	-5.475882285291296E+001	1.003663393927919E+000	
1.440000000000000E+008	-3.459743002667684E+001	1.037959817467120E+000	
1.445000000000000E+008	-3.083303519521600E+001	1.059161426113244E+000	
1.450000000000000E+008	-3.240005588338981E+001	1.049155500448337E+000	
1.455000000000000E+008	-2.583741534276260E+001	1.107627457410802E+000	
1.460000000000000E+008	-1.645683579601304E+001	1.353962976163800E+000	
1.465000000000000E+008	-1.006640443811954E+001	1.914684530146631E+000	
1.470000000000000E+008	-6.075914220217259E+000	2.974767933419897E+000	
1.475000000000000E+008	-4.050158921086966E+000	4.366595032290270E+000	
1.480000000000000E+008	-3.175637481931833E+000	5.531127676128023E+000	
1.485000000000000E+008	-2.803552704869162E+000	6.250046797828587E+000	
1.490000000000000E+008	-2.664697584026248E+000	6.570281817148326E+000	
1.495000000000000E+008	-2.591729027603736E+000	6.752433058644539E+000	
1.500000000000000E+008	-2.598994134290061E+000	6.733835216105081E+000	
1.505000000000000E+008	-2.595512094170495E+000	6.742735752232546E+000	
1.510000000000000E+008	-2.641952434068414E+000	6.625972902313712E+000	
1.515000000000000E+008	-2.672374166213408E+000	6.551701476049322E+000	
1.520000000000000E+008	-2.696447251968659E+000	6.494126614300639E+000	
1.525000000000000E+008	-2.733700121304231E+000	6.407044680303076E+000	
1.530000000000000E+008	-2.779938851782933E+000	6.302230119966522E+000	
1.535000000000000E+008	-2.780002904404082E+000	6.302087363233803E+000	
1.540000000000000E+008	-2.816876360665376E+000	6.220992784008408E+000	
1.545000000000000E+008	-2.827758389154517E+000	6.197467960878019E+000	
1.550000000000000E+008	-2.825545709562463E+000	6.202236537300510E+000	
1.555000000000000E+008	-2.793083036815251E+000	6.273073488565955E+000	
1.560000000000000E+008	-2.791155163788323E+000	6.277332593792187E+000	
1.565000000000000E+008	-2.767798126310949E+000	6.329408991371230E+000	
1.570000000000000E+008	-2.744106372674652E+000	6.383145046958878E+000	
1.575000000000000E+008	-2.717849768242620E+000	6.443802160952773E+000	
1.580000000000000E+008	-2.684527695403164E+000	6.522504165762548E+000	
1.585000000000000E+008	-2.658274012960999E+000	6.585912495506825E+000	
1.590000000000000E+008	-2.625735431529905E+000	6.666273707854323E+000	
1.595000000000000E+008	-2.596717709117834E+000	6.739651325843489E+000	
1.600000000000000E+008	-2.591864913574361E+000	6.752084242178259E+000	
1.605000000000000E+008	-2.593950604860006E+000	6.746734935254201E+000	
1.610000000000000E+008	-2.559076244977739E+000	6.837333978853771E+000	
1.615000000000000E+008	-2.590403539903556E+000	6.755837491798582E+000	
1.620000000000000E+008	-2.611736253238080E+000	6.701468577866206E+000	
1.625000000000000E+008	-2.612486393536912E+000	6.699573038451236E+000	
1.630000000000000E+008	-2.645273175857070E+000	6.617781958200814E+000	
1.635000000000000E+008	-2.666946435313375E+000	6.564827549888128E+000	
1.640000000000000E+008	-2.681171634269886E+000	6.530540012357005E+000	
1.645000000000000E+008	-2.736742492440960E+000	6.400038428110156E+000	
1.650000000000000E+008	-2.759443970177466E+000	6.348251130058998E+000	
1.655000000000000E+008	-2.799634861138373E+000	6.258643252619151E+000	
1.660000000000000E+008	-2.840703077415397E+000	6.169720849072768E+000	
1.665000000000000E+008	-2.853635695914562E+000	6.142253216785343E+000	
1.670000000000000E+008	-2.864269114687782E+000	6.119856338174651E+000	
1.675000000000000E+008	-2.911033095774091E+000	6.023318243894055E+000	
1.680000000000000E+008	-2.929300296834290E+000	5.986452879282157E+000	
1.685000000000000E+008	-2.939994302411128E+000	5.965085711242590E+000	
1.690000000000000E+008	-2.942857826481256E+000	5.959390852878086E+000	
1.695000000000000E+008	-2.941767041494128E+000	5.961558841278352E+000	
1.700000000000000E+008	-2.937097095047754E+000	5.970858966452409E+000	
1.705000000000000E+008	-2.924668553021189E+000	5.995756294784454E+000	
1.710000000000000E+008	-2.910006514610037E+000	6.025403870902976E+000	
1.715000000000000E+008	-2.897425261492027E+000	6.051085413817321E+000	
1.720000000000000E+008	-2.875491675641673E+000	6.096399850113584E+000	
1.725000000000000E+008	-2.835550324876434E+000	6.180735222959942E+000	
1.730000000000000E+008	-2.830565200791168E+000	6.191429783557459E+000	
1.735000000000000E+008	-2.813937034300710E+000	6.227378518925839E+000	
1.740000000000000E+008	-2.792457670227127E+000	6.274454414088639E+000	
1.745000000000000E+008	-2.781025303906482E+000	6.299809596851417E+000	
1.750000000000000E+008	-2.764220423467936E+000	6.337464156580886E+000	
1.755000000000000E+008	-2.761980425908736E+000	6.342518203240506E+000	
1.760000000000000E+008	-2.755835544879957E+000	6.356425273403088E+000	
1.765000000000000E+008	-2.748430397531644E+000	6.373267891749264E+000	
1.770000000000000E+008	-2.784177153229781E+000	6.292798324750336E+000	
1.775000000000000E+008	-2.770585279445322E+000	6.323148279326172E+000	
1.780000000000000E+008	-2.770127438031816E+000	6.324175844894951E+000	
1.785000000000000E+008	-2.781444276134160E+000	6.298876671807244E+000	
1.790000000000000E+008	-2.781267742133992E+000	6.299269725333413E+000	
1.795000000000000E+008	-2.806005757088689E+000	6.244676685759044E+000	
1.800000000000000E+008	-2.826410252034393E+000	6.200372453320184E+000	
1.805000000000000E+008	-2.820282944165076E+000	6.213608723464767E+000	
1.810000000000000E+008	-2.845502959667773E+000	6.159496965578327E+000	
1.815000000000000E+008	-2.831067931188749E+000	6.190349555973071E+000	
1.820000000000000E+008	-2.845559844927105E+000	6.159376007034224E+000	
1.825000000000000E+008	-2.861796322161442E+000	6.125049727402693E+000	
1.830000000000000E+008	-2.864772981239137E+000	6.118799220950410E+000	
1.835000000000000E+008	-2.863991863025221E+000	6.120438175104130E+000	
1.840000000000000E+008	-2.859448258445508E+000	6.129989548887972E+000	
1.845000000000000E+008	-2.869376446531564E+000	6.109158449705351E+000	
1.850000000000000E+008	-2.881774897741501E+000	6.083347669025361E+000	
1.855000000000000E+008	-2.884617698017409E+000	6.077461153601905E+000	
1.860000000000000E+008	-2.879195734404366E+000	6.088698427390495E+000	
1.865000000000000E+008	-2.874218078119822E+000	6.099052522561780E+000	
1.870000000000000E+008	-2.887999658840461E+000	6.070473444317754E+000	
1.875000000000000E+008	-2.883383946739464E+000	6.080014412818334E+000	
1.880000000000000E+008	-2.889941011434114E+000	6.066469734431075E+000	
1.885000000000000E+008	-2.879183580211888E+000	6.088723665502987E+000	
1.890000000000000E+008	-2.901730588091981E+000	6.042271847648827E+000	
1.895000000000000E+008	-2.890181800387582E+000	6.065973526506891E+000	
1.900000000000000E+008	-2.915102622646112E+000	6.015065083575592E+000	
1.905000000000000E+008	-2.906261590977878E+000	6.033024755860695E+000	
1.910000000000000E+008	-2.923576257571078E+000	5.997954637997347E+000	
1.915000000000000E+008	-2.933086688422787E+000	5.978869489765193E+000	
1.920000000000000E+008	-2.939930297386699E+000	5.965213129753462E+000	
1.925000000000000E+008	-2.951144689666732E+000	5.942973144652868E+000	
1.930000000000000E+008	-2.996126329577446E+000	5.855456321319659E+000	
1.935000000000000E+008	-3.011323071839118E+000	5.826485981702009E+000	
1.940000000000000E+008	-3.005285071080322E+000	5.837961108547958E+000	
1.945000000000000E+008	-3.027139870456598E+000	5.796645584776968E+000	
1.950000000000000E+008	-3.050869375331011E+000	5.752463000450578E+000	
1.955000000000000E+008	-3.066189637875365E+000	5.724304787464751E+000	
1.960000000000000E+008	-3.079572933560763E+000	5.699938299193496E+000	
1.965000000000000E+008	-3.078804242656954E+000	5.701332033370505E+000	
1.970000000000000E+008	-3.085096673889883E+000	5.689943697649571E+000	
1.975000000000000E+008	-3.081797524420047E+000	5.695908792161073E+000	
1.980000000000000E+008	-3.105989637198825E+000	5.652465063860992E+000	
1.985000000000000E+008	-3.104791192033430E+000	5.654601101862608E+000	
1.990000000000000E+008	-3.091036541393139E+000	5.679236436062394E+000	
1.995000000000000E+008	-3.101880103672630E+000	5.659796601249619E+000	
2.000000000000000E+008	-3.115694900885718E+000	5.635228154051828E+000	
