#	Version	1.00	
#			
freq[Hz]	re:Trc1_S11[U]	im:Trc1_S11[U]	
1.435000000000000E+008	-9.718149085529149E-004	7.717739790678024E-004	
1.440000000000000E+008	1.722888089716435E-002	-7.057400885969400E-003	
1.445000000000000E+008	1.631533727049828E-002	-2.303032018244267E-002	
1.450000000000000E+008	-1.053167320787907E-002	-2.014972269535065E-002	
1.455000000000000E+008	-3.634881973266602E-002	3.504347801208496E-002	
1.460000000000000E+008	1.216143928468227E-002	1.488020271062851E-001	
1.465000000000000E+008	2.213380336761475E-001	2.210307419300079E-001	
1.470000000000000E+008	4.947937130928040E-001	4.257846996188164E-002	
1.475000000000000E+008	5.335612297058106E-001	-3.295586109161377E-001	
1.480000000000000E+008	3.196366429328919E-001	-6.149690151214600E-001	
1.485000000000000E+008	2.296649850904942E-002	-7.227815985679627E-001	
1.490000000000000E+008	-2.574095129966736E-001	-6.909587979316711E-001	
1.495000000000000E+008	-4.818409085273743E-001	-5.621324181556702E-001	
1.500000000000000E+008	-6.379652023315430E-001	-3.807965517044067E-001	
1.505000000000000E+008	-7.201165556907654E-001	-1.720335632562637E-001	
1.510000000000000E+008	-7.364655733108521E-001	4.266110062599182E-002	
1.515000000000000E+008	-6.920579671859741E-001	2.457481473684311E-001	
1.520000000000000E+008	-5.974346995353699E-001	4.251674413681030E-001	
1.525000000000000E+008	-4.609355330467224E-001	5.659794211387634E-001	
1.530000000000000E+008	-2.933076024055481E-001	6.643269658088684E-001	
1.535000000000000E+008	-1.098222061991692E-001	7.166081666946411E-001	
1.540000000000000E+008	7.928714156150818E-002	7.193154692649841E-001	
1.545000000000000E+008	2.598746120929718E-001	6.765888929367065E-001	
1.550000000000000E+008	4.215927720069885E-001	5.871061682701111E-001	
1.555000000000000E+008	5.551041960716248E-001	4.629528820514679E-001	
1.560000000000000E+008	6.538352966308594E-001	3.105857968330383E-001	
1.565000000000000E+008	7.117167115211487E-001	1.418155431747437E-001	
1.570000000000000E+008	7.284193038940430E-001	-3.573895990848541E-002	
1.575000000000000E+008	7.013043165206909E-001	-2.087963223457336E-001	
1.580000000000000E+008	6.346082091331482E-001	-3.698927164077759E-001	
1.585000000000000E+008	5.321620106697083E-001	-5.084607005119324E-001	
1.590000000000000E+008	4.012001752853394E-001	-6.211709380149841E-001	
1.595000000000000E+008	2.464757412672043E-001	-6.984899044036865E-001	
1.600000000000000E+008	8.526762574911118E-002	-7.378821372985840E-001	
1.605000000000000E+008	-8.214250206947327E-002	-7.382242679595947E-001	
1.610000000000000E+008	-2.461055070161820E-001	-6.998453140258789E-001	
1.615000000000000E+008	-3.934774100780487E-001	-6.280849575996399E-001	
1.620000000000000E+008	-5.213362574577332E-001	-5.265672802925110E-001	
1.625000000000000E+008	-6.212483048439026E-001	-4.008153080940247E-001	
1.630000000000000E+008	-6.943197250366211E-001	-2.539865374565125E-001	
1.635000000000000E+008	-7.287300825119019E-001	-9.669410437345505E-002	
1.640000000000000E+008	-7.306585907936096E-001	6.307850778102875E-002	
1.645000000000000E+008	-6.955527663230896E-001	2.186527699232101E-001	
1.650000000000000E+008	-6.298856139183044E-001	3.651173114776611E-001	
1.655000000000000E+008	-5.338475108146668E-001	4.929169118404388E-001	
1.660000000000000E+008	-4.081291854381561E-001	5.950309038162231E-001	
1.665000000000000E+008	-2.656312882900238E-001	6.681370735168457E-001	
1.670000000000000E+008	-1.106843054294586E-001	7.081322669982910E-001	
1.675000000000000E+008	4.991082474589348E-002	7.124422788619995E-001	
1.680000000000000E+008	2.101426720619202E-001	6.823647022247315E-001	
1.685000000000000E+008	3.584300875663757E-001	6.164755821228027E-001	
1.690000000000000E+008	4.884764552116394E-001	5.180956721305847E-001	
1.695000000000000E+008	5.948997735977173E-001	3.938961327075958E-001	
1.700000000000000E+008	6.702429056167603E-001	2.480799704790115E-001	
1.705000000000000E+008	7.092381119728088E-001	8.766255527734757E-002	
1.710000000000000E+008	7.119379043579102E-001	-7.600659132003784E-002	
1.715000000000000E+008	6.777498722076416E-001	-2.375449091196060E-001	
1.720000000000000E+008	6.071505546569824E-001	-3.854963481426239E-001	
1.725000000000000E+008	5.027907490730286E-001	-5.153371691703796E-001	
1.730000000000000E+008	3.756075501441956E-001	-6.172283887863159E-001	
1.735000000000000E+008	2.295065224170685E-001	-6.868948936462402E-001	
1.740000000000000E+008	7.293314486742020E-002	-7.217966914176941E-001	
1.745000000000000E+008	-8.683151751756668E-002	-7.218261957168579E-001	
1.750000000000000E+008	-2.441467791795731E-001	-6.854199767112732E-001	
1.755000000000000E+008	-3.865669071674347E-001	-6.173412799835205E-001	
1.760000000000000E+008	-5.097407698631287E-001	-5.204085111618042E-001	
1.765000000000000E+008	-6.079508066177368E-001	-4.009816348552704E-001	
1.770000000000000E+008	-6.807436943054199E-001	-2.627352476119995E-001	
1.775000000000000E+008	-7.198275327682495E-001	-1.129150614142418E-001	
1.780000000000000E+008	-7.267128825187683E-001	3.914457932114601E-002	
1.785000000000000E+008	-7.019667625427246E-001	1.880183666944504E-001	
1.790000000000000E+008	-6.475670337677002E-001	3.289888501167297E-001	
1.795000000000000E+008	-5.630556344985962E-001	4.567407667636871E-001	
1.800000000000000E+008	-4.550048112869263E-001	5.630338191986084E-001	
1.805000000000000E+008	-3.287162780761719E-001	6.448079347610474E-001	
1.810000000000000E+008	-1.855178624391556E-001	6.977149844169617E-001	
1.815000000000000E+008	-3.632041066884995E-002	7.213771343231201E-001	
1.820000000000000E+008	1.151082515716553E-001	7.108971476554871E-001	
1.825000000000000E+008	2.629795670509338E-001	6.706520318984985E-001	
1.830000000000000E+008	3.991233408451080E-001	5.987185239791870E-001	
1.835000000000000E+008	5.175544619560242E-001	5.004394054412842E-001	
1.840000000000000E+008	6.122366786003113E-001	3.776624500751495E-001	
1.845000000000000E+008	6.781585812568665E-001	2.363418787717819E-001	
1.850000000000000E+008	7.132623195648193E-001	8.678881078958511E-002	
1.855000000000000E+008	7.152914404869080E-001	-7.093367725610733E-002	
1.860000000000000E+008	6.834428906440735E-001	-2.231339514255524E-001	
1.865000000000000E+008	6.186614632606506E-001	-3.643327653408051E-001	
1.870000000000000E+008	5.239226222038269E-001	-4.898816347122192E-001	
1.875000000000000E+008	4.048901796340942E-001	-5.924171805381775E-001	
1.880000000000000E+008	2.671349346637726E-001	-6.662098169326782E-001	
1.885000000000000E+008	1.181480213999748E-001	-7.074405550956726E-001	
1.890000000000000E+008	-3.846519067883492E-002	-7.162777781486511E-001	
1.895000000000000E+008	-1.924215406179428E-001	-6.903696060180664E-001	
1.900000000000000E+008	-3.336413502693176E-001	-6.331661939620972E-001	
1.905000000000000E+008	-4.628645777702332E-001	-5.461299419403076E-001	
1.910000000000000E+008	-5.666497945785523E-001	-4.316689670085907E-001	
1.915000000000000E+008	-6.468384861946106E-001	-3.015478849411011E-001	
1.920000000000000E+008	-6.947048306465149E-001	-1.566018015146256E-001	
1.925000000000000E+008	-7.107526659965515E-001	-4.712463356554508E-003	
1.930000000000000E+008	-6.952704191207886E-001	1.440085172653198E-001	
1.935000000000000E+008	-6.479856967926025E-001	2.887446582317352E-001	
1.940000000000000E+008	-5.707153677940369E-001	4.195110797882080E-001	
1.945000000000000E+008	-4.669056534767151E-001	5.294508934020996E-001	
1.950000000000000E+008	-3.443241417407990E-001	6.157203316688538E-001	
